Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
217765,core & single copy orthologous,1,1,1,1
217766,core,2,2,2,2
217780,core & single copy orthologous,1,1,1,1
217781,core & single copy orthologous,1,1,1,1
217782,core,2,1,1,1
217783,core & single copy orthologous,1,1,1,1
217784,core & single copy orthologous,1,1,1,1
217785,core,1,2,1,1
217788,core & single copy orthologous,1,1,1,1
217789,core & single copy orthologous,1,1,1,1
217790,core & single copy orthologous,1,1,1,1
217791,core & single copy orthologous,1,1,1,1
217792,core & single copy orthologous,1,1,1,1
217793,core & single copy orthologous,1,1,1,1
217794,core & single copy orthologous,1,1,1,1
217795,core & single copy orthologous,1,1,1,1
217797,core,1,1,2,1
217798,core & single copy orthologous,1,1,1,1
217799,core & single copy orthologous,1,1,1,1
217800,core & single copy orthologous,1,1,1,1
217802,core & single copy orthologous,1,1,1,1
217803,core & single copy orthologous,1,1,1,1
217804,core & single copy orthologous,1,1,1,1
217805,core & single copy orthologous,1,1,1,1
217806,core & single copy orthologous,1,1,1,1
217807,core & single copy orthologous,1,1,1,1
217810,core & single copy orthologous,1,1,1,1
217811,core & single copy orthologous,1,1,1,1
217812,core & single copy orthologous,1,1,1,1
217813,core & single copy orthologous,1,1,1,1
217814,core & single copy orthologous,1,1,1,1
217815,core & single copy orthologous,1,1,1,1
217816,core & single copy orthologous,1,1,1,1
217817,core & single copy orthologous,1,1,1,1
217819,core,1,1,2,1
217822,core & single copy orthologous,1,1,1,1
217823,core & single copy orthologous,1,1,1,1
217824,core & single copy orthologous,1,1,1,1
217825,core,2,1,2,2
217837,core,1,1,2,1
217839,core & single copy orthologous,1,1,1,1
217841,core & single copy orthologous,1,1,1,1
217842,core & single copy orthologous,1,1,1,1
217843,core & single copy orthologous,1,1,1,1
217852,core & single copy orthologous,1,1,1,1
217853,core & single copy orthologous,1,1,1,1
217854,core & single copy orthologous,1,1,1,1
217855,core & single copy orthologous,1,1,1,1
217856,core & single copy orthologous,1,1,1,1
217857,core & single copy orthologous,1,1,1,1
217858,core & single copy orthologous,1,1,1,1
217859,core & single copy orthologous,1,1,1,1
217860,core & single copy orthologous,1,1,1,1
217861,core & single copy orthologous,1,1,1,1
217862,core & single copy orthologous,1,1,1,1
217863,core,3,3,3,3
217864,core,4,3,3,3
217865,core,3,1,3,2
217866,core & single copy orthologous,1,1,1,1
217867,core & single copy orthologous,1,1,1,1
217868,core & single copy orthologous,1,1,1,1
217869,core & single copy orthologous,1,1,1,1
217870,core & single copy orthologous,1,1,1,1
217871,core & single copy orthologous,1,1,1,1
217873,core & single copy orthologous,1,1,1,1
217874,core & single copy orthologous,1,1,1,1
217875,core & single copy orthologous,1,1,1,1
217876,core & single copy orthologous,1,1,1,1
217877,core & single copy orthologous,1,1,1,1
217886,core & single copy orthologous,1,1,1,1
217887,core & single copy orthologous,1,1,1,1
217888,core & single copy orthologous,1,1,1,1
217890,core & single copy orthologous,1,1,1,1
217891,core & single copy orthologous,1,1,1,1
217892,core & single copy orthologous,1,1,1,1
217898,core & single copy orthologous,1,1,1,1
217899,core & single copy orthologous,1,1,1,1
217900,core & single copy orthologous,1,1,1,1
217901,core & single copy orthologous,1,1,1,1
217902,core & single copy orthologous,1,1,1,1
217906,core & single copy orthologous,1,1,1,1
217907,core & single copy orthologous,1,1,1,1
217910,core & single copy orthologous,1,1,1,1
217911,core & single copy orthologous,1,1,1,1
217912,core & single copy orthologous,1,1,1,1
217913,core,2,2,2,1
217914,core & single copy orthologous,1,1,1,1
217915,core & single copy orthologous,1,1,1,1
217918,core & single copy orthologous,1,1,1,1
217919,core & single copy orthologous,1,1,1,1
217920,core & single copy orthologous,1,1,1,1
217924,core & single copy orthologous,1,1,1,1
