#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
216730,accessory,1,1,,1,,,
216730,accessory,3,1,,1,,,
216730,accessory,4,1,,1,,,
216731,accessory,1,1,,1,,,
216731,accessory,3,1,,1,,,
216731,accessory,4,1,,1,,,
216733,accessory,1,1,,1,,,
216733,accessory,3,1,,1,,,
216733,accessory,4,1,,1,,,
216734,accessory,1,1,,1,,,
216734,accessory,3,1,,1,,,
216734,accessory,4,1,,1,,,
216736,accessory,1,1,,1,,,
216736,accessory,3,1,,1,,,
216736,accessory,4,1,,1,,,
216737,accessory,1,1,,1,,,
216737,accessory,3,1,,1,,,
216737,accessory,4,1,,1,,,
216739,accessory,1,1,,1,,,
216739,accessory,3,1,,1,,,
216739,accessory,4,1,,1,,,
216740,accessory,1,1,,1,,,
216740,accessory,3,1,,1,,,
216740,accessory,4,1,,1,,,
216741,accessory,1,1,,1,,,
216741,accessory,3,1,,1,,,
216741,accessory,4,1,,1,,,
216742,accessory,1,1,,1,,,
216742,accessory,3,1,,1,,,
216742,accessory,4,1,,1,,,
216744,accessory,1,1,,1,,,
216744,accessory,3,1,,1,,,
216744,accessory,4,1,,1,,,
216746,accessory,1,1,,1,,,
216746,accessory,3,1,,1,,,
216746,accessory,4,1,,1,,,
216747,accessory,1,1,,1,,,
216747,accessory,3,1,,1,,,
216747,accessory,4,1,,1,,,
216748,core,1,2,,1,1,,
216748,core,4,2,,1,1,,
216760,accessory,1,1,,1,,,
216760,accessory,3,1,,1,,,
216760,accessory,4,1,,1,,,
216761,accessory,1,1,,1,,,
216761,accessory,3,1,,1,,,
216761,accessory,4,1,,1,,,
216762,accessory,1,1,,1,,,
216762,accessory,3,1,,1,,,
216762,accessory,4,1,,1,,,
216766,accessory,1,1,,1,,1,
216766,accessory,3,1,,1,,1,
216767,core,2,3,1,,,,
216767,core,3,3,1,,,,
216767,core,4,3,1,,,,
216769,core,2,2,1,,,,
216769,core,3,2,1,,,,
216769,core,4,2,1,,,,
216771,accessory,1,2,,2,1,2,
216773,accessory,1,1,,1,,,
216773,accessory,3,1,,1,,,
216773,accessory,4,1,,1,,,
216774,accessory,1,1,,1,,,
216774,accessory,3,1,,1,,,
216774,accessory,4,1,,1,,,
216776,accessory,4,2,1,2,1,,
216777,accessory,1,1,,1,,,
216777,accessory,3,1,,1,,,
216777,accessory,4,1,,1,,,
216778,accessory,1,1,,1,1,,
216778,accessory,4,1,,1,1,,
216779,accessory,1,1,,1,,,
216779,accessory,3,1,,1,,,
216779,accessory,4,1,,1,,,
216780,accessory,1,1,,1,,,
216780,accessory,3,1,,1,,,
216780,accessory,4,1,,1,,,
216782,accessory,1,1,,1,,,
216782,accessory,3,1,,1,,,
216782,accessory,4,1,,1,,,
216783,accessory,1,1,,1,,,
216783,accessory,3,1,,1,,,
216783,accessory,4,1,,1,,,
216784,accessory,1,2,,2,1,1,
216785,accessory,1,1,,1,,,
216785,accessory,3,1,,1,,,
216785,accessory,4,1,,1,,,
216786,accessory,1,1,,1,,,
216786,accessory,3,1,,1,,,
216786,accessory,4,1,,1,,,
216788,accessory,1,1,,1,,,
216788,accessory,3,1,,1,,,
216788,accessory,4,1,,1,,,
216790,accessory,1,1,,1,,,
216790,accessory,3,1,,1,,,
216790,accessory,4,1,,1,,,
216791,accessory,1,1,,1,,,
216791,accessory,3,1,,1,,,
216791,accessory,4,1,,1,,,
216792,accessory,3,1,1,1,,,
216792,accessory,4,1,1,1,,,
216793,accessory,1,1,,1,,,
216793,accessory,3,1,,1,,,
216793,accessory,4,1,,1,,,
216794,accessory,1,1,,1,,,
216794,accessory,3,1,,1,,,
216794,accessory,4,1,,1,,,
216795,accessory,1,1,,1,,,
216795,accessory,3,1,,1,,,
216795,accessory,4,1,,1,,,
216797,accessory,1,1,,1,,,
216797,accessory,3,1,,1,,,
216797,accessory,4,1,,1,,,
216798,accessory,1,1,,1,1,,
216798,accessory,4,1,,1,1,,
216799,accessory,1,1,,1,,,
216799,accessory,3,1,,1,,,
216799,accessory,4,1,,1,,,
216800,accessory,1,1,,1,,,
216800,accessory,3,1,,1,,,
216800,accessory,4,1,,1,,,
216801,accessory,1,1,,1,,,
216801,accessory,3,1,,1,,,
216801,accessory,4,1,,1,,,
216802,accessory,1,1,,1,,,
216802,accessory,3,1,,1,,,
216802,accessory,4,1,,1,,,
216803,accessory,1,1,,1,,1,
216803,accessory,3,1,,1,,1,
216808,accessory,1,1,,1,,,
216808,accessory,3,1,,1,,,
216808,accessory,4,1,,1,,,
216809,accessory,1,1,,,,1,
216809,accessory,2,1,,,,1,
216809,accessory,3,1,,,,1,
216812,accessory,1,1,,1,,,
216812,accessory,3,1,,1,,,
216812,accessory,4,1,,1,,,
216813,accessory,1,1,,1,,,
216813,accessory,3,1,,1,,,
216813,accessory,4,1,,1,,,
216816,accessory,1,1,,1,,,
216816,accessory,3,1,,1,,,
216816,accessory,4,1,,1,,,
216817,accessory,1,1,,1,,,
216817,accessory,3,1,,1,,,
216817,accessory,4,1,,1,,,
216818,accessory,1,1,,1,,,
216818,accessory,3,1,,1,,,
216818,accessory,4,1,,1,,,
216819,accessory,1,2,,1,2,2,
216821,accessory,1,1,,1,,,
216821,accessory,3,1,,1,,,
216821,accessory,4,1,,1,,,
216822,accessory,1,1,,1,,,
216822,accessory,3,1,,1,,,
216822,accessory,4,1,,1,,,
216823,accessory,1,1,,1,,1,
216823,accessory,3,1,,1,,1,
216824,accessory,1,1,,1,,1,
216824,accessory,3,1,,1,,1,
216825,accessory,1,1,,1,,,
216825,accessory,3,1,,1,,,
216825,accessory,4,1,,1,,,
216827,accessory,1,1,,1,,,
216827,accessory,3,1,,1,,,
216827,accessory,4,1,,1,,,
216828,accessory,1,1,,1,,,
216828,accessory,3,1,,1,,,
216828,accessory,4,1,,1,,,
216829,accessory,1,1,,1,,,
216829,accessory,3,1,,1,,,
216829,accessory,4,1,,1,,,
216830,accessory,1,1,,1,,1,
216830,accessory,3,1,,1,,1,
216831,accessory,3,1,1,1,,,
216831,accessory,4,1,1,1,,,
216833,accessory,1,1,,1,,,
216833,accessory,3,1,,1,,,
216833,accessory,4,1,,1,,,
216834,accessory,1,1,,1,,,
216834,accessory,3,1,,1,,,
216834,accessory,4,1,,1,,,
216835,accessory,3,2,1,2,,1,
216836,core,3,3,1,1,,,
216836,core,4,3,1,1,,,
216837,accessory,1,1,,,1,,
216837,accessory,2,1,,,1,,
216837,accessory,4,1,,,1,,
216838,accessory,2,1,1,,,,
216838,accessory,3,1,1,,,,
216838,accessory,4,1,1,,,,
216839,accessory,1,1,,,1,1,
216839,accessory,2,1,,,1,1,
216842,accessory,1,1,,1,,,
216842,accessory,3,1,,1,,,
216842,accessory,4,1,,1,,,
216844,accessory,1,1,,1,,,
216844,accessory,3,1,,1,,,
216844,accessory,4,1,,1,,,
216845,accessory,1,1,,1,,,
216845,accessory,3,1,,1,,,
216845,accessory,4,1,,1,,,
216846,accessory,1,1,,1,,,
216846,accessory,3,1,,1,,,
216846,accessory,4,1,,1,,,
